,index,IP,date,request,res_code,search_engine,os,time
37,38.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yahoo,Apple macOS,13:47:19
38,39.0,10.130.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Microsoft Windows,13:47:20
39,40.0,10.129.2.1,29/Nov/2017,GET /details.php?id=44 HTTP/1.1,302,Google,Apple macOS,13:49:25
40,41.0,10.128.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Microsoft Windows,13:49:26
41,42.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Microsoft Windows,13:49:32
42,43.0,10.128.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Google,Apple macOS,13:49:34
43,44.0,10.128.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Google,Apple iOS,13:49:37
44,45.0,10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,Google,Linux Operating System,13:51:40
45,46.0,10.129.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Yahoo,Microsoft Windows,13:51:41
46,47.0,10.129.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Yandex,Google's Android OS,13:51:44
47,48.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Apple macOS,13:51:44
48,49.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Lycos,Apple iOS,13:51:46
49,50.0,10.131.2.1,29/Nov/2017,GET /details.php?id=44 HTTP/1.1,200,Yahoo,Linux Operating System,13:51:49
50,51.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yandex,Linux Operating System,13:57:04
51,52.0,10.131.2.1,29/Nov/2017,GET /details.php?id=44 HTTP/1.1,200,Lycos,Google's Android OS,14:04:57
52,53.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Yahoo,Google's Android OS,14:05:10
53,54.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Linux Operating System,14:05:12
54,55.0,10.131.2.1,29/Nov/2017,GET /details.php?id=46 HTTP/1.1,200,Lycos,Google's Android OS,14:05:16
55,56.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Yahoo,Google's Android OS,14:05:22
56,57.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Google's Android OS,14:05:24
57,58.0,10.131.2.1,29/Nov/2017,GET /details.php?id=42 HTTP/1.1,200,Google,Apple macOS,14:05:28
58,59.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,bing,Google's Android OS,14:05:35
59,60.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Apple iOS,14:05:37
60,61.0,10.131.2.1,29/Nov/2017,GET /details.php?id=45 HTTP/1.1,200,Lycos,Microsoft Windows,14:06:05
61,62.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Google,Microsoft Windows,14:06:10
62,63.0,10.131.0.1,29/Nov/2017,GET / HTTP/1.1,200,Lycos,Google's Android OS,14:31:33
63,64.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Apple macOS,14:33:21
64,65.0,10.131.2.1,29/Nov/2017,GET /css/bootstrap.min.css HTTP/1.1,304,Yandex,Apple iOS,14:33:22
65,66.0,10.128.2.1,29/Nov/2017,GET /css/font-awesome.min.css HTTP/1.1,304,Lycos,Apple iOS,14:33:22
66,67.0,10.131.0.1,29/Nov/2017,GET /css/normalize.css HTTP/1.1,304,Lycos,Apple macOS,14:33:22
67,68.0,10.131.2.1,29/Nov/2017,GET /css/main.css HTTP/1.1,304,bing,Apple macOS,14:33:22
68,69.0,10.131.0.1,29/Nov/2017,GET /css/style.css HTTP/1.1,304,Lycos,Linux Operating System,14:33:22
69,70.0,10.128.2.1,29/Nov/2017,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,304,Google,Google's Android OS,14:33:23
70,71.0,10.131.2.1,29/Nov/2017,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304,Yahoo,Linux Operating System,14:33:23
71,72.0,10.131.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,304,Google,Linux Operating System,14:33:23
72,73.0,10.128.2.1,29/Nov/2017,GET /js/vendor/moment.min.js HTTP/1.1,304,Lycos,Google's Android OS,14:33:23
73,74.0,10.131.2.1,29/Nov/2017,GET / HTTP/1.1,200,bing,Google's Android OS,14:33:26
74,75.0,10.130.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Yahoo,Google's Android OS,14:38:07
75,76.0,10.130.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Microsoft Windows,14:38:08
76,77.0,10.130.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,304,Yandex,Linux Operating System,14:38:09
77,78.0,10.130.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Lycos,Microsoft Windows,14:38:13
78,79.0,10.128.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Linux Operating System,14:38:40
79,80.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Lycos,Google's Android OS,14:38:43
80,81.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Google's Android OS,14:52:51
81,82.0,10.129.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Lycos,Apple iOS,14:53:22
82,83.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Google's Android OS,14:53:24
83,84.0,10.131.0.1,29/Nov/2017,GET /home.php HTTP/1.1,200,bing,Apple iOS,14:54:55
84,85.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Lycos,Google's Android OS,14:55:46
85,86.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,200,Yandex,Apple iOS,14:55:53
86,87.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Apple iOS,14:55:56
87,88.0,10.128.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,bing,Apple macOS,14:56:00
88,89.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Apple macOS,14:56:04
89,90.0,10.128.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,bing,Linux Operating System,14:56:08
90,91.0,10.129.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Yahoo,Apple iOS,14:56:08
91,92.0,10.129.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Google,Microsoft Windows,14:56:17
92,93.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Linux Operating System,14:56:18
93,94.0,10.131.0.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Yandex,Apple macOS,15:00:05
94,95.0,10.131.2.1,29/Nov/2017,GET / HTTP/1.1,200,Lycos,Google's Android OS,15:00:53
95,96.0,10.131.2.1,29/Nov/2017,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,304,Google,Apple iOS,15:00:53
96,97.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Microsoft Windows,15:00:55
97,98.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Microsoft Windows,15:01:00
98,99.0,10.130.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Google's Android OS,15:01:04
99,100.0,10.128.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,bing,Apple macOS,15:04:07
100,101.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,bing,Google's Android OS,15:04:10
101,102.0,10.130.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Apple iOS,15:04:11
102,103.0,10.130.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Yahoo,Linux Operating System,15:04:31
103,104.0,10.130.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yandex,Google's Android OS,15:04:34
104,105.0,10.130.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yandex,Microsoft Windows,15:04:35
105,106.0,10.130.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,bing,Microsoft Windows,15:04:41
106,107.0,10.130.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Google's Android OS,15:05:11
107,108.0,10.130.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Google,Apple macOS,15:05:19
108,109.0,10.131.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Microsoft Windows,15:05:20
109,110.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Apple iOS,15:05:24
110,111.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,bing,Apple macOS,15:05:30
111,112.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Lycos,Apple macOS,15:05:35
112,113.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,bing,Apple macOS,15:07:26
113,114.0,10.131.2.1,29/Nov/2017,GET / HTTP/1.1,302,bing,Linux Operating System,15:07:44
114,115.0,10.128.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Yandex,Linux Operating System,15:07:44
115,116.0,10.128.2.1,29/Nov/2017,GET /css/bootstrap.min.css HTTP/1.1,200,Yahoo,Apple iOS,15:07:45
116,117.0,10.128.2.1,29/Nov/2017,GET /css/font-awesome.min.css HTTP/1.1,200,Lycos,Microsoft Windows,15:07:45
117,118.0,10.131.2.1,29/Nov/2017,GET /css/main.css HTTP/1.1,200,Yahoo,Linux Operating System,15:07:45
118,119.0,10.130.2.1,29/Nov/2017,GET /css/normalize.css HTTP/1.1,200,Yandex,Linux Operating System,15:07:45
119,120.0,10.131.0.1,29/Nov/2017,GET /css/style.css HTTP/1.1,200,Lycos,Apple iOS,15:07:45
120,121.0,10.128.2.1,29/Nov/2017,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Yahoo,Apple macOS,15:07:45
121,122.0,10.130.2.1,29/Nov/2017,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,bing,Apple iOS,15:07:46
122,123.0,10.131.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Lycos,Apple macOS,15:07:46
123,124.0,10.128.2.1,29/Nov/2017,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,bing,Google's Android OS,15:07:49
124,125.0,10.128.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Google,Apple macOS,15:07:57
125,126.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Apple macOS,15:07:57
126,127.0,10.128.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,Yandex,Apple macOS,15:07:58
127,128.0,10.130.2.1,29/Nov/2017,GET /js/vendor/moment.min.js HTTP/1.1,200,Lycos,Apple macOS,15:07:58
128,129.0,10.128.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Apple iOS,15:08:04
129,130.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Lycos,Linux Operating System,15:08:07
130,131.0,10.130.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Google,Apple iOS,15:08:07
131,132.0,10.130.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Apple macOS,15:08:10
132,133.0,10.130.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,bing,Linux Operating System,15:08:27
133,134.0,10.131.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Lycos,Apple macOS,15:08:28
134,135.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,bing,Apple macOS,15:08:46
135,136.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yahoo,Google's Android OS,15:08:48
136,137.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Microsoft Windows,15:08:49
137,138.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Apple macOS,15:08:52
138,139.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Google's Android OS,15:11:18
139,140.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,bing,Linux Operating System,15:11:21
140,141.0,10.128.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Lycos,Google's Android OS,15:11:21
141,142.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Apple macOS,15:11:24
142,143.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Microsoft Windows,15:11:32
143,144.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yandex,Apple iOS,15:11:36
144,145.0,10.128.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Linux Operating System,15:11:36
145,146.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Google's Android OS,15:11:41
146,147.0,10.129.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yahoo,Linux Operating System,15:12:40
147,148.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Lycos,Microsoft Windows,15:12:40
148,149.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Linux Operating System,15:12:44
149,150.0,10.129.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Lycos,Apple macOS,15:12:48
150,151.0,10.129.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,200,bing,Apple macOS,15:12:58
151,152.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Microsoft Windows,15:13:01
152,153.0,10.129.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yandex,Google's Android OS,15:13:12
153,154.0,10.130.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yandex,Apple iOS,15:13:12
154,155.0,10.130.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Linux Operating System,15:13:16
155,156.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Linux Operating System,15:40:24
156,157.0,10.131.2.1,29/Nov/2017,GET /archive.php HTTP/1.1,200,Yahoo,Microsoft Windows,15:40:29
157,158.0,10.131.2.1,29/Nov/2017,GET /allsubmission.php HTTP/1.1,200,Google,Apple macOS,15:40:31
158,159.0,10.131.2.1,29/Nov/2017,GET /showcode.php?id=284&nm=xyz_xyz HTTP/1.1,200,Lycos,Linux Operating System,15:40:33
159,160.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Apple macOS,15:40:42
160,161.0,10.131.2.1,29/Nov/2017,GET /archive.php HTTP/1.1,200,Yandex,Google's Android OS,15:40:48
161,162.0,10.131.2.1,29/Nov/2017,GET /allsubmission.php HTTP/1.1,200,bing,Apple macOS,15:40:49
162,163.0,10.131.2.1,29/Nov/2017,GET /showcode.php?id=281&nm=shawon HTTP/1.1,200,Google,Apple macOS,15:40:53
163,164.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,bing,Apple iOS,15:40:56
164,165.0,10.131.0.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yandex,Microsoft Windows,15:41:03
165,166.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Microsoft Windows,15:41:04
166,167.0,10.129.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Google,Microsoft Windows,15:41:25
167,168.0,10.131.0.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Linux Operating System,15:41:26
168,169.0,10.131.0.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Google,Google's Android OS,15:41:34
169,170.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Apple iOS,15:41:35
170,171.0,10.129.2.1,29/Nov/2017,GET / HTTP/1.1,200,Yandex,Linux Operating System,15:41:52
171,172.0,10.129.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Google,Microsoft Windows,15:41:55
172,173.0,10.131.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,bing,Linux Operating System,15:41:55
173,174.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Microsoft Windows,15:42:00
174,175.0,10.131.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Google,Apple iOS,15:42:03
175,176.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Apple iOS,15:42:11
176,177.0,10.131.2.1,29/Nov/2017,GET /index.php HTTP/1.1,200,Yahoo,Apple macOS,15:42:19
177,178.0,10.130.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Lycos,Google's Android OS,15:43:33
178,179.0,10.130.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Lycos,Google's Android OS,15:43:36
179,180.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yahoo,Apple macOS,15:43:37
180,181.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Lycos,Apple macOS,15:43:40
181,182.0,10.129.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,200,bing,Linux Operating System,15:43:42
182,183.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Google's Android OS,15:43:55
183,184.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yahoo,Linux Operating System,15:56:11
184,185.0,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yandex,Apple macOS,15:56:15
185,186.0,10.131.0.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Google,Microsoft Windows,15:56:16
186,187.0,10.131.0.1,29/Nov/2017,GET /home.php HTTP/1.1,200,bing,Apple macOS,15:56:21
187,188.0,10.131.0.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Google,Apple iOS,15:56:38
188,189.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Yandex,Apple iOS,15:56:39
189,190.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Microsoft Windows,15:56:44
190,191.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Yahoo,Google's Android OS,16:08:00
191,192.0,10.129.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Google,Linux Operating System,16:08:00
192,193.0,10.129.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Microsoft Windows,16:08:06
193,194.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,bing,Apple macOS,16:14:46
194,195.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Yandex,Google's Android OS,16:14:53
195,196.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=Toph%20Contest%202 HTTP/1.1,200,bing,Microsoft Windows,16:15:02
196,197.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Linux Operating System,16:15:06
197,198.0,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,bing,Apple macOS,16:15:10
198,199.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=ncpc%202016 HTTP/1.1,200,Yahoo,Apple macOS,16:15:33
199,200.0,10.131.2.1,29/Nov/2017,GET /details.php?id=3 HTTP/1.1,200,bing,Apple iOS,16:15:36
200,201.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=ncpc%202016 HTTP/1.1,200,Yandex,Microsoft Windows,16:15:40
201,202.0,10.131.2.1,29/Nov/2017,GET /contestsubmission.php?id=4 HTTP/1.1,200,bing,Linux Operating System,16:15:42
202,203.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Yandex,Linux Operating System,16:15:45
203,204.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Google,Apple iOS,16:15:50
